PopulationId,OneIns,MoreIns,NoIns
689,1982,691,249
690,3585,1244,520
691,2778,373,913
692,2390,353,140
693,6140,1083,193
694,43,34,7
695,361,106,209
696,0,0,0
697,231,257,57
698,2040,326,784
699,2191,568,881
700,3469,474,1984
701,1662,95,897
702,1614,108,1192
703,3644,743,1122
704,2259,496,941
705,681,66,342
706,2180,231,571
707,3130,650,1010
708,2308,453,1013
709,1936,326,789
710,3915,454,1159
711,3006,293,1274
712,3217,665,1468
713,1543,146,552
714,3931,530,1296
715,2731,388,951
716,1588,831,255
717,1285,456,190
718,7104,1202,2713
719,3943,539,990
720,2171,410,257
721,3640,792,700
722,5738,939,993
723,1047,409,569
724,3840,436,924
725,4032,680,1088
726,3164,630,667
727,1696,458,589
728,3516,767,1759
729,3218,1049,1117
730,2161,344,832
731,2227,432,656
732,2701,709,1041
733,3244,531,1295
734,3727,463,1467
735,3142,417,1897
736,1971,472,1061
737,2767,509,1245
738,3692,522,1398
739,3358,368,1368
740,3254,436,904
741,2295,491,647
742,1905,306,772
743,4027,585,1124
744,2094,362,733
745,2711,595,809
746,1668,420,644
747,5124,877,1569
748,3735,721,1082
749,2449,708,676
750,3437,412,1243
751,3916,805,1173
752,2253,415,647
753,2966,773,1239
754,3421,557,996
755,3974,569,895
756,2790,506,459
757,2054,499,893
758,2979,525,1260
759,6359,1247,1316
760,4439,556,851
761,4407,662,1923
762,2179,490,417
763,3611,665,1153
764,3082,449,977
765,4096,816,965
766,3316,574,1088
767,5494,551,1431
768,4705,645,1975
769,1806,393,369
770,4208,828,1407
771,6657,497,1033
772,6067,762,795
773,2578,434,593
774,4473,748,583
775,8536,1547,1293
776,2826,429,376
777,3090,1578,491
778,3710,619,501
779,1831,402,384
780,2904,1139,90
781,3652,1353,264
782,2472,1110,213
783,2473,411,957
784,3078,637,351
785,3321,921,643
786,2507,539,419
787,2549,538,675
788,2899,987,504
789,3021,919,1079
790,3052,715,978
791,2099,762,214
792,1895,550,570
793,1779,412,252
794,4787,1081,1100
795,2707,719,900
796,3706,457,697
797,3295,569,986
798,3487,667,1131
799,2130,425,1138
800,1287,202,418
801,2677,731,643
802,4264,702,865
803,2785,468,673
804,2994,417,1076
805,2919,752,702
806,3705,876,1165
807,3731,883,1125
808,3875,553,1482
809,2371,666,505
810,3290,348,1037
811,2582,980,481
812,2920,571,452
813,2342,514,370
814,2154,190,394
815,2683,638,762
816,2391,500,587
817,3307,1159,358
818,2000,353,170
819,4855,1279,342
820,4482,663,350
821,4622,790,317
822,4094,571,421
823,3321,1104,433
824,3903,555,370
825,2355,375,140
826,2808,558,373
827,1191,263,117
828,3770,758,750
829,6896,784,230
830,2958,297,47
831,2288,299,150
832,3509,722,226
833,3649,602,297
834,854,229,124
835,3034,1090,802
836,1006,315,61
837,2881,637,642
838,2679,567,614
839,1494,887,601
840,2359,672,451
841,4057,493,368
842,3747,987,352
843,4240,834,790
844,3305,859,999
845,2898,697,351
846,4459,938,1202
847,3136,553,471
848,3525,458,326
849,5227,1371,339
850,1730,358,200
851,2685,274,335
852,4967,527,554
853,2972,581,254
854,2266,618,256
855,6580,1102,1479
856,5568,1149,1268
857,1939,255,284
858,4539,539,1908
859,5309,1067,1230
860,2413,437,456
861,3418,1187,1020
862,2933,1452,741
863,2901,1009,370
864,4649,600,1477
865,3139,370,998
866,3406,670,1449
867,1415,293,378
868,5139,973,2589
869,4385,1082,855
870,2572,348,999
871,1997,354,666
872,2753,510,1093
873,5609,1031,2017
874,3787,870,733
875,4784,912,2143
876,5203,1226,1478
877,3387,884,837
878,2461,465,1823
879,1813,474,862
880,3418,765,1129
881,3229,578,1161
882,4220,617,1697
883,1689,318,1024
884,2847,279,1782
885,0,0,0
886,2267,518,1049
887,4585,717,608
888,5145,560,1073
889,4316,495,2019
890,3279,449,2066
891,3817,531,2074
892,5063,933,2286
893,1002,97,245
894,2707,374,1577
895,5065,482,2177
896,5670,1097,1440
