Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
1948,2422,86,0,190,0,0
652,1377,0,93,0,0,0
746,1728,7,11,98,0,0
849,3148,3,41,80,13,0
825,2361,67,8,189,0,0
140,2198,0,0,0,0,0
366,1932,0,45,114,2,0
248,2004,23,0,7,0,0
131,4849,11,32,0,0,0
728,5649,31,42,29,5,0
131,2701,1,90,40,20,0
581,5580,23,0,146,0,0
667,4506,239,0,685,0,0
425,4565,142,0,406,0,32
466,4096,0,0,293,0,0
338,3972,240,21,766,0,0
285,3514,6,10,193,0,0
625,6485,26,0,31,0,0
851,5635,55,0,104,0,0
457,3400,39,0,130,0,0
1012,5558,0,0,622,0,0
299,2141,11,12,11,0,5
660,2292,0,41,38,0,0
85,2846,0,0,53,0,0
410,3998,18,164,43,0,0
956,3997,32,42,68,0,0
922,4250,17,33,134,0,0
617,4359,29,61,27,0,0
225,3254,4,54,12,0,0
293,4473,0,1,3,54,0
322,4519,15,50,11,20,0
164,2120,9,0,0,0,0
53,2034,1,36,33,0,12
411,5009,3,0,0,0,0
959,4929,78,87,100,76,15
282,2624,0,0,10,0,0
734,4416,0,150,48,0,0
1918,1398,131,0,431,1,0
90,2307,28,0,194,0,12
525,4651,158,12,1435,0,0
8,72,0,3,1,0,0
7,609,0,21,5,0,0
0,0,0,0,0,0,0
1381,599,385,76,199,0,7
2266,88,532,23,298,17,0
2002,186,1051,16,236,0,0
4841,276,465,13,327,0,0
1909,73,191,51,416,0,0
2484,345,114,0,126,0,0
3958,1022,463,18,48,0,0
1954,182,1224,8,220,73,9
669,49,63,0,299,0,0
1573,73,473,0,774,0,0
2548,20,998,0,1196,0,0
2063,107,1006,0,517,0,0
2408,143,441,0,28,0,0
4071,243,517,0,663,0,0
3154,177,370,0,700,122,0
4610,222,155,75,316,0,0
1564,147,186,0,277,0,0
3477,293,464,18,1477,0,0
1993,447,1239,0,309,23,14
1207,902,283,0,243,0,0
448,804,146,0,176,121,0
6624,946,416,0,2791,0,0
2498,1276,341,0,1158,0,94
944,1047,120,1,851,0,0
1775,1471,62,0,1617,0,92
2665,1880,215,0,2815,0,22
1526,500,18,0,59,0,0
3563,1286,9,5,358,0,25
3664,1456,46,0,695,0,0
2820,1360,89,38,107,0,0
1597,837,119,0,127,0,7
3644,1025,656,0,619,0,0
3249,1805,154,61,84,6,0
1405,1705,90,47,31,0,0
1811,801,497,30,122,20,0
2913,367,166,47,939,0,0
