HouseHoldId,Tot_Housing_Units_ACS_10_14,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
241,1385,1222,118,45,0
242,704,361,151,192,0
243,1111,899,86,118,8
244,2186,1940,52,194,0
245,1225,760,0,0,465
246,1321,858,121,69,273
247,1877,923,112,71,771
248,929,911,13,5,0
249,715,535,0,35,145
250,1072,493,140,439,0
251,1512,1335,146,17,14
252,2193,1436,70,313,374
253,1325,1033,159,129,0
254,1040,978,30,24,8
255,1076,975,65,29,0
256,1646,847,172,156,471
257,2010,1206,178,626,0
258,954,619,97,234,0
259,888,888,0,0,0
260,830,774,17,39,0
261,1085,1056,10,10,9
262,2235,1342,145,748,0
263,1487,995,218,266,8
264,1638,1197,35,202,204
265,2649,2058,160,431,0
266,1215,677,110,428,0
267,1847,1632,62,153,0
268,2379,2031,21,327,0
269,1740,1520,78,121,21
270,1822,1761,22,39,0
271,2017,1653,99,261,4
272,1859,1672,8,0,179
273,1494,1457,3,28,6
274,1447,1033,308,106,0
275,1375,1005,228,142,0
276,1475,1412,0,55,8
277,2378,1520,56,802,0
278,2760,1694,380,686,0
279,2442,1808,160,474,0
280,1298,567,157,574,0
281,2207,226,292,1689,0
282,2652,1820,345,487,0
283,2873,648,206,2019,0
284,1463,368,304,791,0
285,1841,700,142,999,0
286,1039,1039,0,0,0
287,1702,1596,7,67,32
288,2175,2073,15,87,0
289,1509,1052,87,370,0
290,2150,973,284,893,0
291,1997,1714,59,224,0
292,2250,1769,70,411,0
293,1307,1081,42,184,0
294,1759,1113,119,527,0
295,1074,903,62,109,0
296,950,917,19,14,0
297,2323,2047,75,189,12
298,828,813,14,0,1
299,1929,1531,36,57,305
300,1514,1502,12,0,0
301,1228,1204,24,0,0
302,1802,1417,291,91,3
303,1440,1440,0,0,0
304,1194,1194,0,0,0
305,1229,1224,0,5,0
306,1246,592,285,357,12
307,955,914,22,19,0
308,2535,2424,13,98,0
309,2027,1870,95,62,0
310,1196,992,83,111,10
311,1313,1013,290,10,0
312,1537,1197,134,186,20
313,2090,1228,253,609,0
314,1487,1475,12,0,0
315,1633,1111,264,258,0
316,1974,684,53,1237,0
317,1378,922,24,405,27
318,2326,675,964,687,0
319,1755,1453,18,284,0
320,2110,1755,118,237,0
321,1297,807,242,248,0
322,1742,1687,11,33,11
323,1345,1160,143,17,17
324,3386,2505,330,544,7
325,1548,1540,0,0,8
326,1718,1409,110,199,0
327,1412,1157,163,92,0
328,1953,1796,53,104,0
329,2327,916,491,908,0
330,2683,2535,101,0,29
331,1854,1287,280,287,0
332,1871,1306,263,37,265
333,2020,878,272,870,0
334,1594,1478,107,0,9
335,2009,1637,169,203,0
336,1212,1020,123,57,12
337,2034,608,135,1291,0
338,1349,1262,47,35,5
339,1611,1481,110,20,0
340,2484,2229,74,103,66
341,1400,1390,0,10,0
342,2662,2109,345,132,76
343,1454,1386,25,43,0
344,2418,2117,28,93,180
345,2375,1644,381,350,0
346,796,753,25,12,6
347,2268,1564,455,187,62
348,1768,1225,263,280,0
349,2243,1743,148,352,0
350,613,530,59,24,0
351,1184,1184,0,0,0
352,1157,595,210,352,0
353,1929,1562,251,89,27
354,3028,1921,306,789,12
355,1084,1078,6,0,0
356,1360,1298,6,56,0
357,1695,1385,91,219,0
358,28,4,9,15,0
359,40,28,4,8,0
360,417,37,2,378,0
361,0,0,0,0,0
362,1821,1173,108,502,38
363,2785,2652,13,0,120
364,1558,1389,52,7,110
365,2566,2383,104,4,75
366,826,712,20,12,82
367,2254,1795,181,178,100
368,1761,1465,66,0,230
369,2521,1650,295,267,309
370,2457,2230,130,0,97
371,1429,1224,94,21,90
372,1710,1284,121,107,198
373,1397,1263,116,18,0
374,2557,1441,513,603,0
375,1953,817,623,72,441
376,1813,559,527,236,479
377,1919,709,622,336,252
378,1002,343,191,261,207
379,3037,2384,273,214,166
380,1828,1061,415,295,57
381,1980,598,599,757,19
382,1407,1294,85,28,0
383,1108,582,257,264,5
384,1829,468,923,422,16
