One_Health_Ins_ACS_10_14,Two_Plus_Health_Ins_ACS_10_14,No_Health_Ins_ACS_10_14
656,185,106
3172,691,352
2740,1254,492
2757,562,401
4247,888,762
3165,696,344
2227,332,159
3999,863,723
2752,473,240
1181,70,1
4323,1122,681
3212,739,296
3974,994,626
1633,392,220
3716,520,435
2280,310,68
2065,319,197
1246,227,104
3223,606,269
2885,551,484
3460,555,582
1745,404,270
2550,577,393
3280,847,426
2629,674,634
3665,564,567
1651,139,89
4137,481,202
2046,443,149
2090,408,210
2246,313,234
1279,638,108
2418,413,434
2096,594,227
2839,282,438
2560,333,483
2470,723,621
2086,313,250
3064,517,504
2038,513,216
1441,275,150
5866,1442,601
5428,1272,587
4217,1009,51
2277,681,93
3314,705,354
3476,1570,406
2685,624,129
4771,996,100
2562,799,83
2277,866,106
2877,1075,138
3920,1318,328
4465,1058,200
4484,1023,259
3966,1447,226
3063,793,237
1744,536,132
2750,720,194
1829,472,291
1593,504,276
1778,577,130
3487,864,96
4111,666,186
2672,582,168
3236,783,204
3056,534,121
5848,1435,124
6218,1349,50
2785,1633,186
3837,1027,153
4748,772,98
3070,1075,103
2566,549,59
4023,716,604
2393,602,193
5335,289,77
1472,1118,74
5267,1354,127
3107,870,212
2922,470,187
4200,964,217
2580,1181,315
3820,783,366
2030,424,212
4869,934,220
3171,879,230
3939,953,166
5105,1084,363
3913,1983,170
2023,816,181
3142,1208,249
1224,307,190
2668,590,373
2165,557,258
2637,1031,254
2975,705,299
3512,790,213
2661,361,467
3121,704,285
2174,476,182
2803,482,287
1110,287,132
1775,376,140
1866,370,189
1979,388,98
1645,656,182
1214,537,135
2905,931,213
3944,993,181
3264,1559,367
2920,790,174
2600,557,125
1478,636,102
2570,1532,204
1426,292,121
1732,457,133
4468,1736,339
3594,1020,507
1743,254,384
1141,278,118
1460,511,76
2975,725,173
2696,846,112
3253,978,134
2534,724,107
3683,1106,165
2106,667,343
1225,470,328
3551,1035,286
1385,428,96
1866,381,318
5024,1006,429
2630,809,69
2478,565,177
3747,1144,478
5041,1109,226
6779,1198,220
5032,925,155
4078,834,151
2861,676,125
4864,1245,244
5534,1242,100
5808,1182,107
2456,598,69
4759,1185,332
4436,1021,93
6141,1285,353
1690,389,138
2790,561,179
4468,1313,226
3948,976,587
2527,1041,198
6236,885,123
4198,978,235
4188,815,85
3382,611,70
4625,1174,240
3330,500,445
2508,800,199
1814,356,245
3767,1046,192
3464,696,63
6692,1116,290
4621,596,120
6436,1399,297
1880,494,119
4543,1033,555
1826,540,240
4625,1262,199
0,0,0
4221,900,220
2392,439,190
2641,613,141
2612,501,155
2259,462,67
2245,747,149
3799,977,100
3496,988,224
2119,631,185
1867,442,213
4104,1024,348
1236,391,186
1749,495,211
2809,905,354
1486,358,214
2718,516,285
3226,659,331
2938,929,279
12,14,1
1371,475,78
1824,381,357
2200,664,252
806,157,140
1830,630,236
1789,357,213
2793,435,390
3131,580,121
1915,602,197
4088,494,549
1449,367,356
5221,1330,235
3085,602,337
982,282,132
1919,495,87
1091,199,578
17,0,0
0,0,0
1963,516,236
1498,917,311
2097,722,203
1786,680,353
2973,765,340
1329,476,205
1163,591,136
2231,848,408
3252,1143,229
1140,515,188
3200,1129,579
744,451,153
783,407,66
1541,412,1279
3146,749,455
3117,927,814
4168,1373,630
3644,991,375
2541,729,213
1232,399,86
1143,404,134
1518,488,252
1900,402,107
2833,667,170
1212,487,285
2442,848,235
1590,332,213
1786,637,226
1902,548,236
2572,825,329
1263,420,182
2687,745,577
4408,1695,492
2364,848,581
2154,654,273
2490,616,504
1646,535,379
1552,443,255
2617,803,560
2746,1047,542
2594,687,184
4144,798,292
275,125,143
3888,1059,441
4271,843,570
4474,1126,424
4754,1258,858
2015,741,179
1821,466,180
1496,392,230
1661,643,175
1630,597,138
1579,517,337
3652,1098,438
3503,764,350
3018,860,352
4211,1128,421
2392,614,309
2567,828,288
1956,599,151
1964,756,326
1991,466,242
1317,551,241
1757,618,118
3039,781,263
2350,724,171
2155,447,271
0,0,0
3055,697,278
2526,1126,695
2648,884,291
2264,508,344
528,333,92
549,453,112
1155,328,141
680,287,101
4440,1195,591
2372,839,263
2974,824,313
3876,875,362
2385,699,415
1726,626,267
1348,427,49
1882,669,194
1374,538,175
2364,625,403
1547,333,127
2422,491,457
1380,397,302
4292,1179,437
1213,374,97
2371,811,254
3477,762,462
2313,508,396
1467,495,172
3084,709,640
4201,1401,573
2777,1040,211
5256,1350,527
3465,933,329
3959,1071,575
2941,827,462
3773,789,115
3788,426,92
4445,850,629
2602,652,214
3467,1169,801
2467,357,276
2059,440,252
2495,894,506
2836,640,355
2917,848,240
1522,573,168
5100,1383,664
2377,1195,45
2737,1004,439
2936,942,269
3128,741,271
2444,420,566
9,8,0
0,0,0
2993,943,431
903,217,441
2904,578,462
3842,672,147
2181,354,97
3318,238,209
3505,361,297
654,15,32
2140,258,229
4358,446,436
0,0,0
859,154,308
3465,153,152
2759,735,1159
3205,674,491
2561,489,359
1532,201,137
1919,328,88
2401,210,397
2448,538,131
1271,285,167
3392,601,519
778,47,57
1396,227,50
1921,247,330
2639,470,212
2510,202,255
1892,389,101
2889,263,286
1057,257,82
1465,121,113
1621,242,112
1566,696,206
1846,162,173
929,702,85
1976,429,34
1705,240,561
2577,638,306
1860,484,278
1469,209,184
2374,578,472
850,110,320
2086,395,317
2352,247,278
1612,236,89
2869,402,347
4311,547,461
2793,654,486
3231,304,81
3684,855,662
3374,259,280
1705,515,452
3780,674,381
1500,287,497
4056,246,1316
4121,537,251
2914,385,1133
3814,246,292
3880,349,1353
2759,539,954
2686,676,942
2113,482,1310
4472,1368,814
0,0,0
2104,391,631
2127,429,774
3397,612,1228
4170,833,969
4348,560,1553
4895,796,1923
4273,769,1363
2580,401,1139
3941,293,1023
3960,548,1596
4589,333,1086
3288,420,953
1553,172,757
4686,962,855
3233,692,414
3170,667,686
1915,332,502
1505,202,424
1352,205,358
1034,78,199
1382,138,304
3311,537,1327
1996,326,457
2735,721,369
1370,259,356
1782,255,687
1604,143,251
3352,922,697
3516,262,329
1553,232,293
3754,380,389
3096,617,307
3372,198,165
3004,437,375
2518,457,286
2857,474,344
2823,355,282
1388,343,131
3280,321,379
2231,473,427
2556,484,715
3400,396,833
1521,271,452
1117,236,0
4794,569,345
1138,497,25
3325,394,275
1765,335,341
2306,270,254
0,0,0
3288,223,171
3807,404,186
4293,609,236
3260,558,582
2578,315,258
1814,348,384
2422,190,437
476,186,50
4846,517,275
1806,374,59
3852,607,487
1164,463,55
3930,521,169
2881,509,347
3198,416,353
3405,519,179
1649,292,123
0,0,0
1482,332,384
0,0,0
2192,227,463
2921,664,303
2407,414,432
2838,275,417
2296,334,588
2115,246,349
1587,472,154
3283,709,504
1665,287,210
1114,180,290
2274,431,241
3448,572,1290
2138,182,541
2389,430,437
4462,1068,406
2675,389,589
2927,379,692
3936,486,879
2554,482,304
1488,354,61
2177,264,434
1595,435,152
3034,359,421
1383,432,164
1301,107,216
1398,309,142
2120,172,317
2088,369,154
3615,590,197
2460,416,277
3934,637,529
865,145,244
3828,639,663
3339,555,505
1929,287,383
4253,701,412
3344,433,433
2620,488,502
3849,550,231
2691,365,799
3738,706,556
3016,549,899
3475,564,432
4778,426,853
1532,183,708
2516,447,486
2930,229,395
2899,345,499
3276,173,764
2603,265,566
5050,730,362
3467,706,625
4036,1094,323
3617,316,373
4420,774,276
3399,588,180
3238,629,461
1696,229,368
2515,263,158
3116,506,614
2893,240,390
3055,398,432
2714,355,473
1310,378,311
2175,352,353
2435,560,858
1089,189,297
2309,623,324
3831,602,874
1582,285,462
2951,563,562
4133,633,536
2336,397,510
1295,299,403
3266,625,554
1207,183,184
2582,768,241
2502,543,565
3544,800,718
2101,278,248
1598,350,148
3627,573,485
2928,456,376
2817,435,386
2223,668,389
2591,424,849
2018,523,291
1709,367,262
1828,365,441
3034,451,169
1859,338,385
2119,387,280
3380,448,503
3621,271,724
3472,714,391
2286,342,512
2490,727,717
1300,191,181
3556,644,860
2511,214,389
2424,562,582
2350,536,808
288,0,90
1686,710,156
3049,1054,657
2149,374,488
2090,491,460
2300,524,520
3218,573,424
2334,417,501
1407,421,480
2312,594,313
1251,703,287
2963,459,525
3719,808,617
3257,283,355
2679,483,672
1748,489,373
2421,418,441
2144,301,339
3256,743,420
4023,426,709
2930,655,399
4335,436,836
1397,310,312
2994,813,481
1440,315,391
1688,242,271
2077,426,326
2785,756,745
2779,986,436
3179,394,1301
1928,613,587
3015,340,735
2448,477,717
4039,870,972
2627,392,724
5079,631,930
5593,1086,461
1895,441,249
1936,281,146
4231,650,613
3096,883,352
3104,722,524
3748,502,232
2464,406,142
3304,534,438
2697,439,696
2873,847,616
1177,759,103
1710,380,332
3294,1819,581
3404,1232,379
1463,382,730
2187,519,451
1409,207,464
3901,661,1162
1680,827,299
2859,924,626
265,476,0
3080,851,742
3496,1346,200
3320,763,869
1642,740,121
2621,1472,487
1642,459,443
3750,701,544
1710,1030,188
1896,1527,391
1701,358,348
1960,376,842
2723,440,814
1396,340,390
1962,307,355
967,77,57
2994,745,574
1057,103,125
3772,336,654
3275,426,372
3248,404,705
3064,411,443
2768,903,506
2799,1352,216
2614,340,271
3070,496,557
2251,502,659
3775,741,531
3843,940,1058
3553,347,577
2675,424,305
2505,486,503
2739,429,775
2942,681,499
2048,518,765
1869,270,179
2163,397,627
2086,387,241
2773,351,644
1780,189,183
2355,509,983
1607,250,135
2047,482,533
1897,442,360
2655,400,625
2547,475,601
2369,449,540
1754,344,392
3172,303,510
1718,274,287
997,91,357
2068,352,610
0,0,0
2148,356,621
2552,546,832
1337,288,151
2247,685,448
2003,403,322
2858,541,496
973,174,118
1250,308,177
3090,518,630
2173,304,259
2487,414,488
1550,343,131
3032,399,617
1577,258,144
2360,403,1076
2163,326,504
2826,245,1562
2254,357,502
1676,214,764
2976,552,889
3212,276,2285
2907,836,293
3452,345,2038
2166,620,294
3311,368,2016
3155,755,820
2796,579,995
2475,468,529
3321,494,1346
2954,762,644
4075,453,1535
1803,327,374
2659,424,1176
2156,240,241
3485,698,2364
2220,240,215
3390,529,2279
2681,353,203
2897,459,1469
1494,167,268
1901,173,546
1399,237,300
2381,410,504
403,80,24
2216,369,87
1354,169,645
1397,248,273
2084,311,137
1191,223,94
2888,545,493
1869,422,369
1553,207,270
2397,255,174
1934,95,114
2177,551,35
2375,337,148
2661,319,147
3357,312,260
2660,327,561
3635,343,712
2369,457,590
1966,399,414
4355,745,876
4509,316,674
2272,152,817
2428,254,810
3086,466,393
2674,798,449
4340,434,1183
4153,975,720
2602,357,565
4771,1103,1754
3905,882,764
2019,219,442
3211,389,682
2243,294,377
3304,529,747
1301,213,279
2823,467,201
2006,326,400
1948,256,147
1635,276,512
3980,338,369
2897,682,600
3994,521,1086
2182,141,129
2230,341,1233
1361,271,490
3825,532,1554
3369,299,153
3177,368,509
3437,280,993
2708,436,563
4103,696,1286
3231,374,680
5228,670,1111
1274,151,136
3490,685,1147
2619,322,619
1387,79,199
2399,320,547
3296,288,713
3453,432,519
4085,657,1082
2843,552,118
3509,530,623
4386,759,1367
1703,228,170
3348,557,341
2590,330,364
7005,1223,187
1747,384,336
5689,769,246
2689,708,487
3183,537,341
3020,277,52
2397,837,684
2338,319,99
3355,644,609
277,24,46
2169,540,260
5209,1328,429
3138,708,561
4496,233,302
1657,448,117
2546,233,395
2694,637,276
3961,740,789
2382,532,339
2137,270,383
2589,471,624
3856,367,483
3061,396,413
1586,139,397
1791,295,170
2724,538,202
2127,268,496
1415,216,37
2674,344,1123
2204,326,97
2738,355,488
2425,396,130
1073,300,52
972,187,293
2764,655,117
3034,266,573
3958,481,122
1711,207,381
2408,425,109
2761,243,669
2520,340,230
2301,498,342
551,49,213
2874,396,563
2295,389,313
2509,511,227
1749,464,378
2867,593,262
1298,148,349
1583,188,110
2653,357,815
3264,848,267
1512,125,410
5509,1255,874
3468,651,343
1610,638,168
2678,332,355
4269,890,351
1806,619,127
2263,490,278
3542,615,318
1382,190,231
3653,1964,638
719,193,109
1334,338,85
1642,390,70
1987,740,327
2074,378,168
4323,845,288
1228,187,39
1041,272,31
1389,263,84
1605,269,32
1855,370,130
2392,335,145
2086,352,69
1397,352,99
1216,146,103
1079,161,37
1541,246,6
1586,223,64
1749,316,161
1635,245,77
1405,182,105
0,0,0
2203,361,337
1300,143,346
1573,171,223
1538,132,263
1936,370,244
1645,167,219
2286,316,397
1060,277,104
1384,190,220
1521,189,117
1984,198,400
3338,472,469
4880,598,861
983,261,129
1431,168,200
4705,926,213
16,0,0
0,0,0
2165,456,203
1695,252,221
2479,351,281
1433,269,287
1833,294,202
2772,472,489
1941,533,209
2408,379,176
2021,261,134
3054,358,330
3184,242,161
3427,377,381
2975,370,159
2673,126,29
1893,200,93
1577,149,61
2511,336,151
762,231,42
1253,211,17
1757,229,65
1483,264,150
2347,307,199
3732,567,786
2891,390,539
1746,342,349
2836,409,267
2496,155,172
2690,438,95
2644,223,254
3047,506,360
1957,305,140
3482,658,282
1996,455,209
3698,452,617
2768,497,259
3659,630,789
2639,475,750
1257,199,364
3277,426,682
3464,596,811
1826,628,497
3903,672,1230
2989,450,493
3857,599,659
2096,383,690
3232,342,318
386,287,93
1704,209,213
1673,559,456
2063,232,465
3350,448,762
3542,480,993
5030,854,1233
2700,421,883
3746,699,826
2678,416,643
4931,546,1007
1732,272,234
1141,242,83
1422,354,214
2063,253,229
1971,196,196
1083,315,157
1388,235,187
1274,230,138
0,8,0
1457,188,159
2315,385,821
1686,330,362
2665,348,381
2205,219,502
1876,174,326
2299,417,368
2261,243,598
2270,375,479
1879,503,156
2391,594,410
1228,230,168
2210,477,603
2245,550,407
4542,950,1067
3447,894,1199
2942,629,750
2808,612,509
4434,1179,975
2063,718,824
2975,394,498
2398,492,368
1378,200,244
4427,478,766
2785,561,542
3276,639,479
3623,896,417
4288,1622,559
4605,1212,608
3219,624,481
2103,448,443
2399,568,399
1723,612,592
2319,319,429
1932,258,376
1650,468,366
977,174,129
1818,295,373
1477,285,169
1618,222,351
2855,420,551
1905,514,304
1542,176,257
2441,353,271
3447,505,595
3856,372,454
2488,687,610
0,0,0
1301,179,150
1892,173,504
2010,202,266
1148,254,156
1423,191,263
2038,491,401
3103,528,409
1731,325,187
2695,386,338
2382,443,201
1257,70,244
1416,271,273
1592,137,181
3049,276,416
3285,244,668
2125,250,424
2169,215,289
1625,203,196
1683,242,289
1635,222,319
2045,200,142
1155,159,141
1351,197,94
1857,149,158
1766,166,218
1629,153,203
2351,245,256
1144,115,264
2803,604,290
4977,1392,267
4058,1798,344
681,159,42
2501,844,354
1664,172,218
3722,570,433
3318,769,426
2686,490,360
2742,444,220
2204,375,156
2718,481,353
2497,366,593
2669,531,161
2866,378,692
3000,322,576
3688,370,279
1507,251,253
2261,396,343
1380,174,301
1523,277,412
2017,347,336
2207,450,431
1992,389,423
2317,298,477
3284,574,539
1825,357,667
1367,243,305
1645,211,230
2198,322,409
1921,316,481
1188,103,254
1464,90,263
1776,363,407
2583,206,318
2884,354,706
2394,240,482
2150,363,398
1278,82,296
0,0,0
2489,184,408
2097,219,326
4035,344,700
2165,157,574
3340,179,866
1936,176,410
2616,175,282
3099,446,282
3793,362,713
2161,132,624
1430,252,375
1731,102,271
6557,999,1137
3369,459,515
3598,440,268
4912,261,234
5486,330,554
2424,262,214
2440,365,758
0,0,0
1690,396,379
3224,879,373
5165,1521,724
1951,562,414
1674,392,211
1342,375,280
3917,846,460
3182,792,245
4227,831,124
4649,990,233
2640,523,170
2661,621,88
2615,275,136
3158,791,275
6053,1190,418
3680,915,510
1819,573,163
23,1,2
3519,828,331
2765,846,270
3266,1024,336
3004,1119,483
1993,389,194
3516,932,384
2642,763,195
2765,526,246
4213,1085,180
5409,1390,453
2442,606,113
3697,939,202
2395,708,157
2871,755,163
5214,1088,892
5493,998,348
2602,723,259
3612,497,162
3701,1230,378
1781,336,372
2066,270,220
1297,413,256
2530,357,443
1483,305,91
771,137,81
4146,711,251
1995,266,280
2575,747,685
2406,443,320
1964,251,281
2912,483,261
2285,614,271
1041,200,99
2897,396,510
1608,154,366
3253,476,574
1159,172,421
1174,206,108
1826,409,224
898,123,130
1927,301,163
2215,192,424
2473,167,63
4820,714,600
1494,307,261
1315,152,108
766,221,100
1704,584,310
2256,771,241
1585,255,287
1658,262,366
1274,458,288
1025,437,300
1251,196,191
1001,331,328
1583,367,234
3400,494,328
1630,483,245
1989,258,270
1575,199,329
3758,306,573
1148,183,191
2443,555,155
1771,412,158
2461,378,323
2419,402,261
1799,308,357
1446,327,166
1429,388,138
2244,850,439
2196,365,339
1494,450,248
2107,526,231
2332,453,298
1971,584,426
2592,417,183
1808,475,148
1832,563,80
1178,279,67
1366,489,284
1789,251,338
2833,515,620
2590,396,544
2744,649,618
2144,360,434
2213,796,350
3352,476,377
2561,607,592
1172,197,130
1670,460,281
955,355,130
1973,492,390
1051,210,296
2230,759,214
2436,326,299
971,145,102
1494,121,280
1642,346,194
803,184,317
2656,763,185
2985,781,193
3057,606,83
3892,775,425
3390,975,141
2031,607,209
2986,854,80
2591,566,313
2130,653,93
3360,1104,294
1943,896,236
4093,965,248
3032,878,207
2281,870,188
1492,456,36
4445,701,182
3669,960,270
3622,1161,256
6724,1038,168
4488,1302,115
7103,1325,441
4759,1368,235
4353,1154,123
5289,1113,92
5081,614,315
4883,1163,189
778,231,161
1537,659,73
1569,456,55
7368,1092,292
3967,1121,164
3785,818,76
5906,905,226
2755,538,104
3896,1037,313
4254,1319,400
4437,1386,165
2052,531,289
2889,589,337
4724,1063,142
2448,1011,84
4595,1070,308
3526,864,43
3598,627,48
4074,1134,59
2400,600,90
5045,786,311
3311,1018,171
3360,1069,160
3153,534,178
3995,580,283
3698,1197,133
5411,783,487
4561,893,297
4957,1297,332
5298,657,354
3666,916,593
4424,1120,104
6408,1529,279
4182,530,255
5181,699,453
2597,722,75
3216,639,381
2416,730,118
4324,1152,107
2826,751,173
6973,1340,426
4904,898,259
3053,763,120
3828,913,309
3852,1116,192
3891,915,285
1597,495,138
2606,752,307
4400,1016,1351
2888,899,370
2629,744,465
3265,1019,171
3341,917,313
2496,905,246
2624,933,223
3107,1103,83
2593,978,314
4647,1522,300
5235,967,640
1664,586,56
2002,873,229
3733,1133,183
3484,770,356
3304,807,88
2401,732,254
4367,894,112
3941,1080,429
4438,702,198
3815,716,376
3454,892,412
3750,1239,195
2764,666,100
5658,1072,339
4327,961,163
4072,863,276
4888,626,283
2849,524,199
4062,1142,408
3759,610,388
3450,736,147
5066,1084,454
2660,285,75
2144,542,193
3425,722,296
2945,754,169
0,0,0
10,6,0
0,0,0
1560,551,72
1588,228,295
1160,409,181
1972,643,183
1570,386,267
1965,484,276
1974,555,222
1156,250,219
3965,1471,128
2940,651,218
1864,721,588
1605,394,460
2656,917,667
2645,702,326
2802,571,749
2835,740,407
3398,1160,161
3108,970,212
4464,872,403
3943,1240,236
5039,1102,477
3645,1859,430
3168,606,285
4766,2676,123
3987,1560,63
4424,1136,1078
3222,1271,95
4257,1010,465
3177,955,417
1711,304,29
2517,645,51
3529,966,245
2082,574,56
3428,979,259
2226,719,18
3392,1086,215
2911,1168,105
2409,760,203
2858,1025,637
3346,1064,85
3406,1221,527
2175,478,91
2127,302,171
1995,458,157
3317,889,313
4392,1669,106
3373,892,279
4234,1190,277
2380,1201,116
3160,915,234
2799,836,168
2133,1456,415
2785,490,134
3005,715,190
1948,575,46
3840,957,440
4626,1734,889
4931,1216,285
4150,893,334
2975,674,435
2130,344,172
2801,833,623
2375,411,1499
2669,354,474
3353,550,1786
3426,367,1009
2518,351,178
3839,786,185
3219,888,311
3329,883,140
4367,1192,616
5051,967,1022
4294,661,562
3259,632,918
4300,509,1119
6162,800,961
5940,797,815
2773,543,361
3348,554,293
6688,1344,497
4749,564,477
3079,847,250
3520,908,379
2801,689,495
3713,767,422
3859,648,514
2539,531,162
2268,417,147
1936,428,425
4904,905,513
3130,699,96
5164,1501,105
5549,1089,78
3480,673,91
1830,356,858
3669,557,518
2344,259,1561
2862,203,1453
4603,738,1749
4237,1021,2040
3787,619,972
4490,533,1090
2954,335,1861
2257,469,849
1923,290,644
4584,1167,241
3255,396,1094
3704,816,1082
2234,276,681
3782,429,1002
3897,586,922
4175,770,344
3842,805,630
3948,940,734
379,304,18
4140,1255,316
4303,1198,375
5041,1043,307
4861,872,327
5368,996,403
3125,475,147
4966,907,386
3489,882,233
3614,662,478
5419,1022,725
4495,889,387
4685,885,381
4182,676,239
4960,1019,199
3343,693,148
3830,622,147
3336,616,220
4208,747,112
3100,925,86
4535,572,588
6591,1075,369
2359,703,391
4633,1000,281
2797,731,98
4221,1133,878
3827,526,1250
5227,1171,1242
5562,1121,461
5128,813,602
3639,639,324
4964,766,563
3721,549,785
2826,459,1269
5297,721,613
3084,540,201
5678,810,197
5179,735,300
2254,466,30
5004,1290,200
4986,1106,389
5136,866,330
2491,802,190
2938,471,208
4393,1029,663
4806,1196,294
4010,781,310
2301,729,75
2922,527,185
3835,1204,168
3509,813,41
3098,528,104
3065,676,124
2468,365,348
4475,758,610
2822,646,275
2888,451,175
3738,958,398
4649,1192,179
5119,992,271
4547,804,115
6806,761,527
3921,656,925
4174,668,616
3023,701,533
2554,619,347
4707,1282,1391
2817,717,756
3012,592,1269
4274,988,838
3988,667,1244
2910,898,909
1988,533,527
3026,765,790
2179,412,881
3357,925,1265
3548,950,671
3319,627,311
2836,552,222
3370,814,231
5298,968,391
5637,1148,670
5172,766,295
1947,412,117
4180,720,94
2875,546,157
3469,533,10
4868,1100,268
4237,917,115
4068,536,151
2121,368,106
4708,870,168
5010,918,191
5956,1042,211
3098,646,186
5274,1129,209
2881,809,270
3151,937,445
2861,839,142
2863,461,368
2097,420,152
3845,1002,1666
3753,1067,561
3135,516,473
3186,576,336
1644,334,98
3040,774,197
2848,752,135
2078,705,192
3261,528,1427
1611,400,164
5775,1139,1739
1795,594,445
3391,745,660
3854,888,223
3050,762,103
3600,693,282
6449,1137,243
2571,398,71
2736,618,112
2323,556,362
3895,770,195
1943,677,240
4637,1437,474
2056,544,77
3408,665,83
2728,637,44
3359,889,66
4412,1011,201
3661,619,110
5352,1075,104
2469,454,177
3152,649,146
4075,1057,241
2840,379,133
5676,1021,320
4976,899,443
4011,1262,665
4753,977,352
4518,726,604
3778,540,269
4506,1264,224
3548,740,186
1854,255,12
4218,1263,36
2817,514,102
2468,589,38
1935,479,82
3883,803,257
3905,1115,213
4423,1981,392
3211,792,305
4198,918,401
2781,352,195
4696,1002,208
2632,808,318
3364,598,419
2947,565,345
3798,905,158
4957,723,178
4170,773,77
3296,627,129
3793,683,297
3990,885,250
3894,798,221
2281,603,217
1867,289,111
4495,816,124
5723,847,37
3868,700,178
3572,630,225
2680,520,104
3756,817,87
3056,574,159
3378,631,158
3282,638,138
5107,1613,978
3910,742,211
754,99,35
933,88,64
1126,82,69
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1929,476,302
6182,1640,441
0,0,0
7697,2237,1229
7464,325,809
6353,1531,1449
1272,26,94
1289,302,90
4443,1331,400
2473,794,226
3692,262,213
2423,596,146
1910,538,218
4523,1249,220
6415,341,559
4831,1272,1572
6076,855,1259
3316,928,628
5956,384,166
4980,1096,773
1585,93,266
3865,1215,578
3406,1193,691
3211,429,412
3119,493,732
866,237,135
5314,1054,1016
2818,1178,522
3235,340,640
2067,442,425
2118,462,121
6468,599,549
4745,423,94
4884,851,938
2415,488,363
2333,339,326
2088,289,146
6402,1022,925
4356,612,187
7610,1054,879
5250,1531,800
4356,562,127
3362,371,575
13164,2274,1297
875,88,47
1962,221,214
5675,1128,647
3758,625,161
4079,834,325
3183,436,173
3770,378,215
4228,782,50
2058,154,224
2303,314,117
2363,522,43
2646,142,218
4167,1404,153
3740,1092,178
3848,1007,142
3528,531,314
4909,867,331
6354,865,365
4942,862,338
9066,1478,932
4183,462,361
6085,690,179
2354,195,123
6505,1169,303
4722,857,374
6317,641,542
4819,620,335
3002,487,265
3581,755,203
1713,193,159
4697,598,220
6505,880,255
3873,647,87
4031,688,202
7165,905,729
2683,588,156
3065,503,446
1556,159,170
2124,258,347
0,0,0
3307,920,126
6164,857,281
5819,792,136
4613,777,224
5842,900,452
5139,798,622
1498,155,47
8583,1384,616
7,26,0
2787,362,185
135,12,0
3067,1519,562
6028,937,246
3249,372,276
1477,237,112
1043,71,85
93,50,82
1691,153,155
806,160,55
4835,2291,61
3991,304,133
6714,1656,335
152,45,23
6812,824,175
3784,200,390
657,170,16
207,47,12
1133,132,33
127,2,17
916,378,43
1814,488,83
1982,219,487
2852,465,166
3005,268,262
7356,1676,432
555,417,99
2486,714,82
5934,1324,1030
2179,1046,61
8462,1137,408
2028,292,145
8528,2283,227
4886,596,1153
4472,1283,111
3985,586,714
2854,818,21
1925,603,126
8186,948,735
3780,978,468
9284,1195,716
4390,1107,534
11768,2583,1290
5551,1040,386
9696,1765,1017
6405,808,584
6520,1001,112
3129,944,215
4,0,0
3534,1182,240
6247,1079,211
4434,975,13
3580,427,397
6527,1023,178
2559,184,61
2472,434,27
5941,979,205
4566,1125,206
1572,560,50
4140,1219,102
5834,1143,503
5350,1321,490
6995,1485,545
12186,1879,904
8018,1914,312
4495,546,625
1683,223,301
8460,1352,311
4540,845,200
3750,361,413
6642,1472,507
3008,612,75
2732,424,120
5462,665,436
6392,1481,1110
5364,1413,475
4726,860,1136
5730,1037,255
5319,623,1751
4702,1048,559
3358,494,438
6061,1312,438
5392,1289,917
7261,1291,889
4081,443,1136
7217,1336,415
2974,576,684
1849,237,476
7787,1799,901
6453,2269,704
2734,474,723
7134,1396,803
5279,965,1473
6923,1903,441
4269,1353,931
5996,1373,1005
5833,1330,1111
4238,852,206
5057,1033,986
7326,778,769
3330,649,1588
8129,2196,1439
2304,514,192
7544,1219,601
2939,545,561
6928,1227,1123
4825,1014,855
6464,935,512
2693,688,520
684,111,78
1668,216,318
1770,261,434
7734,1308,462
2491,316,190
1611,235,75
3346,289,568
2837,372,159
4129,955,107
2472,246,307
2846,359,76
4129,449,865
3093,350,544
5563,1068,513
7668,1116,925
2576,716,682
4060,396,1230
1956,569,346
2708,405,450
6308,910,1192
0,0,0
6123,691,567
4908,595,543
4380,555,642
1692,385,315
2453,356,206
5709,714,1531
2158,667,601
5728,679,937
7182,1602,1857
2703,546,773
3920,630,982
3908,777,1029
6057,801,1482
6394,956,1774
4591,600,1204
6112,758,1796
4732,683,1319
3557,472,1193
4255,979,1149
1393,149,166
4751,1515,695
5167,1012,1401
7018,1181,840
1201,143,74
1814,397,315
897,216,276
4896,1353,1290
2793,410,479
2717,483,857
4985,1192,454
10251,2458,3190
4927,1453,1376
889,160,151
1785,464,392
7558,1384,2408
4336,594,500
3676,382,412
3378,384,646
8768,2164,2754
6158,1246,1984
5251,1055,1220
1654,360,314
6322,1620,1242
7392,861,1210
5580,849,591
2808,478,197
3928,1439,1076
8604,1112,1573
2344,345,146
5406,1405,1068
4708,1454,1619
2935,695,626
7958,1858,2373
5373,1570,2115
5443,1053,1908
0,0,0
2950,997,373
3564,311,522
2789,478,307
6588,1635,1204
0,0,0
8104,304,220
5764,389,222
0,0,0
2616,569,217
1492,838,98
1229,848,80
935,378,194
900,996,77
708,451,93
1632,948,304
1268,1511,130
1712,730,356
598,605,141
1057,700,481
790,1105,401
1075,816,246
2148,1042,256
1863,1162,327
1626,722,190
2280,1238,156
1872,641,156
1132,535,127
1653,815,179
1473,957,206
3362,1649,612
4898,1302,271
7558,2153,477
5726,1787,333
2796,636,197
2444,700,204
1600,518,172
2045,632,151
1554,344,267
1671,342,375
1940,476,227
5315,1324,432
4898,1451,162
3116,843,114
